"iteration","lm_4layers_tense_232-232 - _step","lm_4layers_tense_232-232 - _step__MIN","lm_4layers_tense_232-232 - _step__MAX","lm_4layers_tense_232-232 - val_aux","lm_4layers_tense_232-232 - val_aux__MIN","lm_4layers_tense_232-232 - val_aux__MAX","lm_4layers_tense_232-232 - test_aux","lm_4layers_tense_232-232 - test_aux__MIN","lm_4layers_tense_232-232 - test_aux__MAX","lm_4layers_tense_222-222 - _step","lm_4layers_tense_222-222 - _step__MIN","lm_4layers_tense_222-222 - _step__MAX","lm_4layers_tense_222-222 - val_aux","lm_4layers_tense_222-222 - val_aux__MIN","lm_4layers_tense_222-222 - val_aux__MAX","lm_4layers_tense_222-222 - test_aux","lm_4layers_tense_222-222 - test_aux__MIN","lm_4layers_tense_222-222 - test_aux__MAX","lm_4layers_tense_212-212 - _step","lm_4layers_tense_212-212 - _step__MIN","lm_4layers_tense_212-212 - _step__MAX","lm_4layers_tense_212-212 - val_aux","lm_4layers_tense_212-212 - val_aux__MIN","lm_4layers_tense_212-212 - val_aux__MAX","lm_4layers_tense_212-212 - test_aux","lm_4layers_tense_212-212 - test_aux__MIN","lm_4layers_tense_212-212 - test_aux__MAX","lm_4layers_tense_202-202 - _step","lm_4layers_tense_202-202 - _step__MIN","lm_4layers_tense_202-202 - _step__MAX","lm_4layers_tense_202-202 - val_aux","lm_4layers_tense_202-202 - val_aux__MIN","lm_4layers_tense_202-202 - val_aux__MAX","lm_4layers_tense_202-202 - test_aux","lm_4layers_tense_202-202 - test_aux__MIN","lm_4layers_tense_202-202 - test_aux__MAX","lm_4layers_tense_192-192 - _step","lm_4layers_tense_192-192 - _step__MIN","lm_4layers_tense_192-192 - _step__MAX","lm_4layers_tense_192-192 - val_aux","lm_4layers_tense_192-192 - val_aux__MIN","lm_4layers_tense_192-192 - val_aux__MAX","lm_4layers_tense_192-192 - test_aux","lm_4layers_tense_192-192 - test_aux__MIN","lm_4layers_tense_192-192 - test_aux__MAX","lm_4layers_tense_182-182 - _step","lm_4layers_tense_182-182 - _step__MIN","lm_4layers_tense_182-182 - _step__MAX","lm_4layers_tense_182-182 - val_aux","lm_4layers_tense_182-182 - val_aux__MIN","lm_4layers_tense_182-182 - val_aux__MAX","lm_4layers_tense_182-182 - test_aux","lm_4layers_tense_182-182 - test_aux__MIN","lm_4layers_tense_182-182 - test_aux__MAX","lm_4layers_tense_152-152 - _step","lm_4layers_tense_152-152 - _step__MIN","lm_4layers_tense_152-152 - _step__MAX","lm_4layers_tense_152-152 - val_aux","lm_4layers_tense_152-152 - val_aux__MIN","lm_4layers_tense_152-152 - val_aux__MAX","lm_4layers_tense_152-152 - test_aux","lm_4layers_tense_152-152 - test_aux__MIN","lm_4layers_tense_152-152 - test_aux__MAX","lm_4layers_tense_142-142 - _step","lm_4layers_tense_142-142 - _step__MIN","lm_4layers_tense_142-142 - _step__MAX","lm_4layers_tense_142-142 - val_aux","lm_4layers_tense_142-142 - val_aux__MIN","lm_4layers_tense_142-142 - val_aux__MAX","lm_4layers_tense_142-142 - test_aux","lm_4layers_tense_142-142 - test_aux__MIN","lm_4layers_tense_142-142 - test_aux__MAX","lm_4layers_tense_172-172 - _step","lm_4layers_tense_172-172 - _step__MIN","lm_4layers_tense_172-172 - _step__MAX","lm_4layers_tense_172-172 - val_aux","lm_4layers_tense_172-172 - val_aux__MIN","lm_4layers_tense_172-172 - val_aux__MAX","lm_4layers_tense_172-172 - test_aux","lm_4layers_tense_172-172 - test_aux__MIN","lm_4layers_tense_172-172 - test_aux__MAX","lm_4layers_tense_132-132 - _step","lm_4layers_tense_132-132 - _step__MIN","lm_4layers_tense_132-132 - _step__MAX","lm_4layers_tense_132-132 - val_aux","lm_4layers_tense_132-132 - val_aux__MIN","lm_4layers_tense_132-132 - val_aux__MAX","lm_4layers_tense_132-132 - test_aux","lm_4layers_tense_132-132 - test_aux__MIN","lm_4layers_tense_132-132 - test_aux__MAX","lm_4layers_tense_162-162 - _step","lm_4layers_tense_162-162 - _step__MIN","lm_4layers_tense_162-162 - _step__MAX","lm_4layers_tense_162-162 - val_aux","lm_4layers_tense_162-162 - val_aux__MIN","lm_4layers_tense_162-162 - val_aux__MAX","lm_4layers_tense_162-162 - test_aux","lm_4layers_tense_162-162 - test_aux__MIN","lm_4layers_tense_162-162 - test_aux__MAX","lm_4layers_tense_112-112 - _step","lm_4layers_tense_112-112 - _step__MIN","lm_4layers_tense_112-112 - _step__MAX","lm_4layers_tense_112-112 - val_aux","lm_4layers_tense_112-112 - val_aux__MIN","lm_4layers_tense_112-112 - val_aux__MAX","lm_4layers_tense_112-112 - test_aux","lm_4layers_tense_112-112 - test_aux__MIN","lm_4layers_tense_112-112 - test_aux__MAX","lm_4layers_tense_102-102 - _step","lm_4layers_tense_102-102 - _step__MIN","lm_4layers_tense_102-102 - _step__MAX","lm_4layers_tense_102-102 - val_aux","lm_4layers_tense_102-102 - val_aux__MIN","lm_4layers_tense_102-102 - val_aux__MAX","lm_4layers_tense_102-102 - test_aux","lm_4layers_tense_102-102 - test_aux__MIN","lm_4layers_tense_102-102 - test_aux__MAX","lm_4layers_tense_122-122 - _step","lm_4layers_tense_122-122 - _step__MIN","lm_4layers_tense_122-122 - _step__MAX","lm_4layers_tense_122-122 - val_aux","lm_4layers_tense_122-122 - val_aux__MIN","lm_4layers_tense_122-122 - val_aux__MAX","lm_4layers_tense_122-122 - test_aux","lm_4layers_tense_122-122 - test_aux__MIN","lm_4layers_tense_122-122 - test_aux__MAX","lm_4layers_tense_42-42 - _step","lm_4layers_tense_42-42 - _step__MIN","lm_4layers_tense_42-42 - _step__MAX","lm_4layers_tense_42-42 - val_aux","lm_4layers_tense_42-42 - val_aux__MIN","lm_4layers_tense_42-42 - val_aux__MAX","lm_4layers_tense_42-42 - test_aux","lm_4layers_tense_42-42 - test_aux__MIN","lm_4layers_tense_42-42 - test_aux__MAX","lm_4layers_tense_62-62 - _step","lm_4layers_tense_62-62 - _step__MIN","lm_4layers_tense_62-62 - _step__MAX","lm_4layers_tense_62-62 - val_aux","lm_4layers_tense_62-62 - val_aux__MIN","lm_4layers_tense_62-62 - val_aux__MAX","lm_4layers_tense_62-62 - test_aux","lm_4layers_tense_62-62 - test_aux__MIN","lm_4layers_tense_62-62 - test_aux__MAX","lm_4layers_tense_82-82 - _step","lm_4layers_tense_82-82 - _step__MIN","lm_4layers_tense_82-82 - _step__MAX","lm_4layers_tense_82-82 - val_aux","lm_4layers_tense_82-82 - val_aux__MIN","lm_4layers_tense_82-82 - val_aux__MAX","lm_4layers_tense_82-82 - test_aux","lm_4layers_tense_82-82 - test_aux__MIN","lm_4layers_tense_82-82 - test_aux__MAX","lm_4layers_tense_52-52 - _step","lm_4layers_tense_52-52 - _step__MIN","lm_4layers_tense_52-52 - _step__MAX","lm_4layers_tense_52-52 - val_aux","lm_4layers_tense_52-52 - val_aux__MIN","lm_4layers_tense_52-52 - val_aux__MAX","lm_4layers_tense_52-52 - test_aux","lm_4layers_tense_52-52 - test_aux__MIN","lm_4layers_tense_52-52 - test_aux__MAX","lm_4layers_tense_72-72 - _step","lm_4layers_tense_72-72 - _step__MIN","lm_4layers_tense_72-72 - _step__MAX","lm_4layers_tense_72-72 - val_aux","lm_4layers_tense_72-72 - val_aux__MIN","lm_4layers_tense_72-72 - val_aux__MAX","lm_4layers_tense_72-72 - test_aux","lm_4layers_tense_72-72 - test_aux__MIN","lm_4layers_tense_72-72 - test_aux__MAX","lm_4layers_tense_92-92 - _step","lm_4layers_tense_92-92 - _step__MIN","lm_4layers_tense_92-92 - _step__MAX","lm_4layers_tense_92-92 - val_aux","lm_4layers_tense_92-92 - val_aux__MIN","lm_4layers_tense_92-92 - val_aux__MAX","lm_4layers_tense_92-92 - test_aux","lm_4layers_tense_92-92 - test_aux__MIN","lm_4layers_tense_92-92 - test_aux__MAX"
"3000","3001","3001","3001","0.184","0.184","0.184","0.008","0.008","0.008","3001","3001","3001","0.211","0.211","0.211","0.0355","0.0355","0.0355","3001","3001","3001","0.19","0.19","0.19","0.0245","0.0245","0.0245","3001","3001","3001","0.235","0.235","0.235","0.0195","0.0195","0.0195","3001","3001","3001","0.224","0.224","0.224","0.0295","0.0295","0.0295","3001","3001","3001","0.199","0.199","0.199","0.029","0.029","0.029","3001","3001","3001","0.213","0.213","0.213","0.0265","0.0265","0.0265","3001","3001","3001","0.205","0.205","0.205","0.022","0.022","0.022","3001","3001","3001","0.224","0.224","0.224","0.0375","0.0375","0.0375","3001","3001","3001","0.156","0.156","0.156","0.011","0.011","0.011","3001","3001","3001","0.238","0.238","0.238","0.024","0.024","0.024","3001","3001","3001","0.252","0.252","0.252","0.0165","0.0165","0.0165","3001","3001","3001","0.184","0.184","0.184","0.041","0.041","0.041","3001","3001","3001","0.224","0.224","0.224","0.0425","0.0425","0.0425","3001","3001","3001","0.174","0.174","0.174","0.021","0.021","0.021","3001","3001","3001","0.206","0.206","0.206","0.0265","0.0265","0.0265","3001","3001","3001","0.142","0.142","0.142","0.018","0.018","0.018","3001","3001","3001","0.175","0.175","0.175","0.0325","0.0325","0.0325","3001","3001","3001","0.183","0.183","0.183","0.011","0.011","0.011","3001","3001","3001","0.226","0.226","0.226","0.02","0.02","0.02"
"6000","6003","6003","6003","0.927","0.927","0.927","0.066","0.066","0.066","6003","6003","6003","0.957","0.957","0.957","0.0355","0.0355","0.0355","6003","6003","6003","0.951","0.951","0.951","0.078","0.078","0.078","6003","6003","6003","0.964","0.964","0.964","0.0565","0.0565","0.0565","6003","6003","6003","0.939","0.939","0.939","0.0815","0.0815","0.0815","6003","6003","6003","0.928","0.928","0.928","0.089","0.089","0.089","6003","6003","6003","0.965","0.965","0.965","0.1225","0.1225","0.1225","6003","6003","6003","0.96","0.96","0.96","0.0465","0.0465","0.0465","6003","6003","6003","0.963","0.963","0.963","0.0395","0.0395","0.0395","6003","6003","6003","0.975","0.975","0.975","0.065","0.065","0.065","6003","6003","6003","0.967","0.967","0.967","0.078","0.078","0.078","6003","6003","6003","0.975","0.975","0.975","0.0715","0.0715","0.0715","6003","6003","6003","0.974","0.974","0.974","0.0815","0.0815","0.0815","6003","6003","6003","0.962","0.962","0.962","0.058","0.058","0.058","6003","6003","6003","0.958","0.958","0.958","0.106","0.106","0.106","6003","6003","6003","0.907","0.907","0.907","0.049","0.049","0.049","6003","6003","6003","0.96","0.96","0.96","0.042","0.042","0.042","6003","6003","6003","0.967","0.967","0.967","0.0705","0.0705","0.0705","6003","6003","6003","0.958","0.958","0.958","0.056","0.056","0.056","6003","6003","6003","0.95","0.95","0.95","0.0435","0.0435","0.0435"
"9000","9005","9005","9005","0.973","0.973","0.973","0.0425","0.0425","0.0425","9005","9005","9005","0.983","0.983","0.983","0.24","0.24","0.24","9005","9005","9005","0.983","0.983","0.983","0.0795","0.0795","0.0795","9005","9005","9005","0.991","0.991","0.991","0.04","0.04","0.04","9005","9005","9005","0.983","0.983","0.983","0.063","0.063","0.063","9005","9005","9005","0.964","0.964","0.964","0.031","0.031","0.031","9005","9005","9005","0.988","0.988","0.988","0.1275","0.1275","0.1275","9005","9005","9005","0.987","0.987","0.987","0.109","0.109","0.109","9005","9005","9005","0.981","0.981","0.981","0.1595","0.1595","0.1595","9005","9005","9005","0.982","0.982","0.982","0.119","0.119","0.119","9005","9005","9005","0.987","0.987","0.987","0.002","0.002","0.002","9005","9005","9005","0.991","0.991","0.991","0.0425","0.0425","0.0425","9005","9005","9005","0.984","0.984","0.984","0.2115","0.2115","0.2115","9005","9005","9005","0.98","0.98","0.98","0.134","0.134","0.134","9005","9005","9005","0.987","0.987","0.987","0.0275","0.0275","0.0275","9005","9005","9005","0.979","0.979","0.979","0.1445","0.1445","0.1445","9005","9005","9005","0.973","0.973","0.973","0.271","0.271","0.271","9005","9005","9005","0.987","0.987","0.987","0.092","0.092","0.092","9005","9005","9005","0.994","0.994","0.994","0.1785","0.1785","0.1785","9005","9005","9005","0.973","0.973","0.973","0.0995","0.0995","0.0995"
"12000","12007","12007","12007","0.991","0.991","0.991","0.009","0.009","0.009","12007","12007","12007","0.991","0.991","0.991","0.51","0.51","0.51","12007","12007","12007","0.975","0.975","0.975","0.0965","0.0965","0.0965","12007","12007","12007","0.989","0.989","0.989","0.095","0.095","0.095","12007","12007","12007","0.991","0.991","0.991","0.2245","0.2245","0.2245","12007","12007","12007","0.993","0.993","0.993","0.1565","0.1565","0.1565","12007","12007","12007","0.99","0.99","0.99","0.24","0.24","0.24","12007","12007","12007","0.988","0.988","0.988","0.1205","0.1205","0.1205","12007","12007","12007","0.995","0.995","0.995","0.284","0.284","0.284","12007","12007","12007","0.998","0.998","0.998","0.7125","0.7125","0.7125","12007","12007","12007","0.993","0.993","0.993","0.249","0.249","0.249","12007","12007","12007","0.994","0.994","0.994","0.202","0.202","0.202","12007","12007","12007","0.983","0.983","0.983","0.291","0.291","0.291","12007","12007","12007","0.982","0.982","0.982","0.1445","0.1445","0.1445","12007","12007","12007","0.986","0.986","0.986","0.0705","0.0705","0.0705","12007","12007","12007","0.995","0.995","0.995","0.1485","0.1485","0.1485","12007","12007","12007","0.99","0.99","0.99","0.2095","0.2095","0.2095","12007","12007","12007","0.997","0.997","0.997","0.291","0.291","0.291","12007","12007","12007","0.994","0.994","0.994","0.3025","0.3025","0.3025","12007","12007","12007","0.994","0.994","0.994","0.0925","0.0925","0.0925"
"15000","15009","15009","15009","0.986","0.986","0.986","0.1685","0.1685","0.1685","15009","15009","15009","0.986","0.986","0.986","0.504","0.504","0.504","15009","15009","15009","0.986","0.986","0.986","0.4835","0.4835","0.4835","15009","15009","15009","0.993","0.993","0.993","0.2575","0.2575","0.2575","15009","15009","15009","0.99","0.99","0.99","0.3605","0.3605","0.3605","15009","15009","15009","0.994","0.994","0.994","0.3345","0.3345","0.3345","15009","15009","15009","0.994","0.994","0.994","0.378","0.378","0.378","15009","15009","15009","0.98","0.98","0.98","0.1275","0.1275","0.1275","15009","15009","15009","0.994","0.994","0.994","0.4745","0.4745","0.4745","15009","15009","15009","0.987","0.987","0.987","0.7485","0.7485","0.7485","15009","15009","15009","0.997","0.997","0.997","0.374","0.374","0.374","15009","15009","15009","0.998","0.998","0.998","0.418","0.418","0.418","15009","15009","15009","0.982","0.982","0.982","0.4375","0.4375","0.4375","15009","15009","15009","0.992","0.992","0.992","0.625","0.625","0.625","15009","15009","15009","0.998","0.998","0.998","0.27","0.27","0.27","15009","15009","15009","0.986","0.986","0.986","0.051","0.051","0.051","15009","15009","15009","0.996","0.996","0.996","0.7455","0.7455","0.7455","15009","15009","15009","0.991","0.991","0.991","0.0705","0.0705","0.0705","15009","15009","15009","0.998","0.998","0.998","0.436","0.436","0.436","15009","15009","15009","0.99","0.99","0.99","0.126","0.126","0.126"
"18000","18011","18011","18011","0.996","0.996","0.996","0.527","0.527","0.527","18011","18011","18011","0.996","0.996","0.996","0.8735","0.8735","0.8735","18011","18011","18011","0.996","0.996","0.996","0.456","0.456","0.456","18011","18011","18011","0.994","0.994","0.994","0.537","0.537","0.537","18011","18011","18011","0.999","0.999","0.999","0.399","0.399","0.399","18011","18011","18011","0.996","0.996","0.996","0.0295","0.0295","0.0295","18011","18011","18011","0.995","0.995","0.995","0.229","0.229","0.229","18011","18011","18011","0.988","0.988","0.988","0.404","0.404","0.404","18011","18011","18011","0.996","0.996","0.996","0.1645","0.1645","0.1645","18011","18011","18011","0.997","0.997","0.997","0.3795","0.3795","0.3795","18011","18011","18011","0.984","0.984","0.984","0.325","0.325","0.325","18011","18011","18011","0.995","0.995","0.995","0.293","0.293","0.293","18011","18011","18011","1","1","1","0.522","0.522","0.522","18011","18011","18011","0.98","0.98","0.98","0.5115","0.5115","0.5115","18011","18011","18011","0.996","0.996","0.996","0.5575","0.5575","0.5575","18011","18011","18011","0.988","0.988","0.988","0.2275","0.2275","0.2275","18011","18011","18011","0.997","0.997","0.997","0.6795","0.6795","0.6795","18011","18011","18011","0.991","0.991","0.991","0.5665","0.5665","0.5665","18011","18011","18011","0.997","0.997","0.997","0.5635","0.5635","0.5635","18011","18011","18011","0.996","0.996","0.996","0.3255","0.3255","0.3255"
"21000","21013","21013","21013","0.992","0.992","0.992","0.4025","0.4025","0.4025","21013","21013","21013","0.986","0.986","0.986","0.67","0.67","0.67","21013","21013","21013","1","1","1","0.3765","0.3765","0.3765","21013","21013","21013","0.995","0.995","0.995","0.2185","0.2185","0.2185","21013","21013","21013","0.997","0.997","0.997","0.609","0.609","0.609","21013","21013","21013","0.996","0.996","0.996","0.101","0.101","0.101","21013","21013","21013","0.998","0.998","0.998","0.4755","0.4755","0.4755","21013","21013","21013","0.997","0.997","0.997","0.6015","0.6015","0.6015","21013","21013","21013","0.994","0.994","0.994","0.285","0.285","0.285","21013","21013","21013","0.992","0.992","0.992","0.638","0.638","0.638","21013","21013","21013","0.999","0.999","0.999","0.808","0.808","0.808","21013","21013","21013","0.983","0.983","0.983","0.5665","0.5665","0.5665","21013","21013","21013","0.996","0.996","0.996","0.4855","0.4855","0.4855","21013","21013","21013","0.997","0.997","0.997","0.6645","0.6645","0.6645","21013","21013","21013","0.994","0.994","0.994","0.6665","0.6665","0.6665","21013","21013","21013","0.998","0.998","0.998","0.009","0.009","0.009","21013","21013","21013","0.998","0.998","0.998","0.2845","0.2845","0.2845","21013","21013","21013","0.997","0.997","0.997","0.189","0.189","0.189","21013","21013","21013","0.987","0.987","0.987","0.8025","0.8025","0.8025","21013","21013","21013","0.994","0.994","0.994","0.4875","0.4875","0.4875"
"24000","24015","24015","24015","0.998","0.998","0.998","0.255","0.255","0.255","24015","24015","24015","0.991","0.991","0.991","0.69","0.69","0.69","24015","24015","24015","0.992","0.992","0.992","0.3115","0.3115","0.3115","24015","24015","24015","0.999","0.999","0.999","0.653","0.653","0.653","24015","24015","24015","0.999","0.999","0.999","0.766","0.766","0.766","24015","24015","24015","0.991","0.991","0.991","0.1925","0.1925","0.1925","24015","24015","24015","0.998","0.998","0.998","0.511","0.511","0.511","24015","24015","24015","0.999","0.999","0.999","0.523","0.523","0.523","24015","24015","24015","0.989","0.989","0.989","0.541","0.541","0.541","24015","24015","24015","0.994","0.994","0.994","0.7695","0.7695","0.7695","24015","24015","24015","0.997","0.997","0.997","0.754","0.754","0.754","24015","24015","24015","0.999","0.999","0.999","0.577","0.577","0.577","24015","24015","24015","0.997","0.997","0.997","0.6975","0.6975","0.6975","24015","24015","24015","0.998","0.998","0.998","0.5235","0.5235","0.5235","24015","24015","24015","1","1","1","0.0875","0.0875","0.0875","24015","24015","24015","0.998","0.998","0.998","0.015","0.015","0.015","24015","24015","24015","0.994","0.994","0.994","0.3475","0.3475","0.3475","24015","24015","24015","0.999","0.999","0.999","0.3375","0.3375","0.3375","24015","24015","24015","0.999","0.999","0.999","0.7105","0.7105","0.7105","24015","24015","24015","0.997","0.997","0.997","0.7555","0.7555","0.7555"
"27000","27017","27017","27017","0.994","0.994","0.994","0.079","0.079","0.079","27017","27017","27017","0.999","0.999","0.999","0.5835","0.5835","0.5835","27017","27017","27017","0.996","0.996","0.996","0.88","0.88","0.88","27017","27017","27017","0.998","0.998","0.998","0.3225","0.3225","0.3225","27017","27017","27017","0.992","0.992","0.992","0.9455","0.9455","0.9455","27017","27017","27017","0.998","0.998","0.998","0.1405","0.1405","0.1405","27017","27017","27017","0.997","0.997","0.997","0.691","0.691","0.691","27017","27017","27017","1","1","1","0.4855","0.4855","0.4855","27017","27017","27017","0.996","0.996","0.996","0.9015","0.9015","0.9015","27017","27017","27017","0.998","0.998","0.998","0.5965","0.5965","0.5965","27017","27017","27017","1","1","1","0.589","0.589","0.589","27017","27017","27017","0.999","0.999","0.999","0.5585","0.5585","0.5585","27017","27017","27017","0.999","0.999","0.999","0.278","0.278","0.278","27017","27017","27017","0.991","0.991","0.991","0.338","0.338","0.338","27017","27017","27017","0.998","0.998","0.998","0.655","0.655","0.655","27017","27017","27017","0.996","0.996","0.996","0.128","0.128","0.128","27017","27017","27017","0.994","0.994","0.994","0.4845","0.4845","0.4845","27017","27017","27017","0.999","0.999","0.999","0.586","0.586","0.586","27017","27017","27017","0.998","0.998","0.998","0.8735","0.8735","0.8735","27017","27017","27017","0.99","0.99","0.99","0.3085","0.3085","0.3085"
"30000","30019","30019","30019","0.997","0.997","0.997","0.498","0.498","0.498","30019","30019","30019","0.997","0.997","0.997","0.9545","0.9545","0.9545","30019","30019","30019","0.99","0.99","0.99","0.475","0.475","0.475","30019","30019","30019","0.995","0.995","0.995","0.8745","0.8745","0.8745","30019","30019","30019","0.996","0.996","0.996","0.6625","0.6625","0.6625","30019","30019","30019","0.997","0.997","0.997","0.1785","0.1785","0.1785","30019","30019","30019","0.993","0.993","0.993","0.964","0.964","0.964","30019","30019","30019","0.996","0.996","0.996","0.469","0.469","0.469","30019","30019","30019","0.997","0.997","0.997","0.8445","0.8445","0.8445","30019","30019","30019","0.996","0.996","0.996","0.8595","0.8595","0.8595","30019","30019","30019","0.997","0.997","0.997","0.7785","0.7785","0.7785","30019","30019","30019","0.997","0.997","0.997","0.038","0.038","0.038","30019","30019","30019","0.993","0.993","0.993","0.551","0.551","0.551","30019","30019","30019","0.995","0.995","0.995","0.413","0.413","0.413","30019","30019","30019","0.997","0.997","0.997","0.8385","0.8385","0.8385","30019","30019","30019","0.998","0.998","0.998","0.416","0.416","0.416","30019","30019","30019","0.997","0.997","0.997","0.751","0.751","0.751","30019","30019","30019","0.997","0.997","0.997","0.9565","0.9565","0.9565","30019","30019","30019","0.994","0.994","0.994","0.962","0.962","0.962","30019","30019","30019","0.999","0.999","0.999","0.4845","0.4845","0.4845"
