"iteration","lm_6layers_dyck_52-52 - _step","lm_6layers_dyck_52-52 - _step__MIN","lm_6layers_dyck_52-52 - _step__MAX","lm_6layers_dyck_52-52 - val_aux","lm_6layers_dyck_52-52 - val_aux__MIN","lm_6layers_dyck_52-52 - val_aux__MAX","lm_6layers_dyck_52-52 - test_aux","lm_6layers_dyck_52-52 - test_aux__MIN","lm_6layers_dyck_52-52 - test_aux__MAX","lm_6layers_dyck_62-62 - _step","lm_6layers_dyck_62-62 - _step__MIN","lm_6layers_dyck_62-62 - _step__MAX","lm_6layers_dyck_62-62 - val_aux","lm_6layers_dyck_62-62 - val_aux__MIN","lm_6layers_dyck_62-62 - val_aux__MAX","lm_6layers_dyck_62-62 - test_aux","lm_6layers_dyck_62-62 - test_aux__MIN","lm_6layers_dyck_62-62 - test_aux__MAX","lm_6layers_dyck_82-82 - _step","lm_6layers_dyck_82-82 - _step__MIN","lm_6layers_dyck_82-82 - _step__MAX","lm_6layers_dyck_82-82 - val_aux","lm_6layers_dyck_82-82 - val_aux__MIN","lm_6layers_dyck_82-82 - val_aux__MAX","lm_6layers_dyck_82-82 - test_aux","lm_6layers_dyck_82-82 - test_aux__MIN","lm_6layers_dyck_82-82 - test_aux__MAX","lm_6layers_dyck_72-72 - _step","lm_6layers_dyck_72-72 - _step__MIN","lm_6layers_dyck_72-72 - _step__MAX","lm_6layers_dyck_72-72 - val_aux","lm_6layers_dyck_72-72 - val_aux__MIN","lm_6layers_dyck_72-72 - val_aux__MAX","lm_6layers_dyck_72-72 - test_aux","lm_6layers_dyck_72-72 - test_aux__MIN","lm_6layers_dyck_72-72 - test_aux__MAX","lm_6layers_dyck_92-92 - _step","lm_6layers_dyck_92-92 - _step__MIN","lm_6layers_dyck_92-92 - _step__MAX","lm_6layers_dyck_92-92 - val_aux","lm_6layers_dyck_92-92 - val_aux__MIN","lm_6layers_dyck_92-92 - val_aux__MAX","lm_6layers_dyck_92-92 - test_aux","lm_6layers_dyck_92-92 - test_aux__MIN","lm_6layers_dyck_92-92 - test_aux__MAX","lm_6layers_dyck_42-42 - _step","lm_6layers_dyck_42-42 - _step__MIN","lm_6layers_dyck_42-42 - _step__MAX","lm_6layers_dyck_42-42 - val_aux","lm_6layers_dyck_42-42 - val_aux__MIN","lm_6layers_dyck_42-42 - val_aux__MAX","lm_6layers_dyck_42-42 - test_aux","lm_6layers_dyck_42-42 - test_aux__MIN","lm_6layers_dyck_42-42 - test_aux__MAX","lm_6layers_dyck_122-122 - _step","lm_6layers_dyck_122-122 - _step__MIN","lm_6layers_dyck_122-122 - _step__MAX","lm_6layers_dyck_122-122 - val_aux","lm_6layers_dyck_122-122 - val_aux__MIN","lm_6layers_dyck_122-122 - val_aux__MAX","lm_6layers_dyck_122-122 - test_aux","lm_6layers_dyck_122-122 - test_aux__MIN","lm_6layers_dyck_122-122 - test_aux__MAX","lm_6layers_dyck_112-112 - _step","lm_6layers_dyck_112-112 - _step__MIN","lm_6layers_dyck_112-112 - _step__MAX","lm_6layers_dyck_112-112 - val_aux","lm_6layers_dyck_112-112 - val_aux__MIN","lm_6layers_dyck_112-112 - val_aux__MAX","lm_6layers_dyck_112-112 - test_aux","lm_6layers_dyck_112-112 - test_aux__MIN","lm_6layers_dyck_112-112 - test_aux__MAX","lm_6layers_dyck_132-132 - _step","lm_6layers_dyck_132-132 - _step__MIN","lm_6layers_dyck_132-132 - _step__MAX","lm_6layers_dyck_132-132 - val_aux","lm_6layers_dyck_132-132 - val_aux__MIN","lm_6layers_dyck_132-132 - val_aux__MAX","lm_6layers_dyck_132-132 - test_aux","lm_6layers_dyck_132-132 - test_aux__MIN","lm_6layers_dyck_132-132 - test_aux__MAX","lm_6layers_dyck_102-102 - _step","lm_6layers_dyck_102-102 - _step__MIN","lm_6layers_dyck_102-102 - _step__MAX","lm_6layers_dyck_102-102 - val_aux","lm_6layers_dyck_102-102 - val_aux__MIN","lm_6layers_dyck_102-102 - val_aux__MAX","lm_6layers_dyck_102-102 - test_aux","lm_6layers_dyck_102-102 - test_aux__MIN","lm_6layers_dyck_102-102 - test_aux__MAX"
"10000","10001","10001","10001","0.9838258785942492","0.9838258785942492","0.9838258785942492","0.8410953427943234","0.8410953427943234","0.8410953427943234","10001","10001","10001","0.9786341853035144","0.9786341853035144","0.9786341853035144","0.8291025384769138","0.8291025384769138","0.8291025384769138","","","","","","","","","","10001","10001","10001","0.9838258785942492","0.9838258785942492","0.9838258785942492","0.8273036178293024","0.8273036178293024","0.8273036178293024","","","","","","","","","","10001","10001","10001","0.9756389776357828","0.9756389776357828","0.9756389776357828","0.8376973815710573","0.8376973815710573","0.8376973815710573","10001","10001","10001","0.9880191693290735","0.9880191693290735","0.9880191693290735","0.8412952228662802","0.8412952228662802","0.8412952228662802","","","","","","","","","","","","","","","","","","","10001","10001","10001","0.9836261980830671","0.9836261980830671","0.9836261980830671","0.8325004997001799","0.8325004997001799","0.8325004997001799"
"20000","20003","20003","20003","0.9968051118210862","0.9968051118210862","0.9968051118210862","0.9454327403557865","0.9454327403557865","0.9454327403557865","20003","20003","20003","0.998202875399361","0.998202875399361","0.998202875399361","0.94143513891665","0.94143513891665","0.94143513891665","20003","20003","20003","0.9960063897763578","0.9960063897763578","0.9960063897763578","0.9412352588446932","0.9412352588446932","0.9412352588446932","","","","","","","","","","20003","20003","20003","0.9980031948881789","0.9980031948881789","0.9980031948881789","0.9456326204277433","0.9456326204277433","0.9456326204277433","20003","20003","20003","0.9980031948881789","0.9980031948881789","0.9980031948881789","0.9390365780531681","0.9390365780531681","0.9390365780531681","20003","20003","20003","0.9988019169329073","0.9988019169329073","0.9988019169329073","0.9458325004997001","0.9458325004997001","0.9458325004997001","20003","20003","20003","0.9990015974440895","0.9990015974440895","0.9990015974440895","0.9366380171896862","0.9366380171896862","0.9366380171896862","","","","","","","","","","20003","20003","20003","0.9978035143769968","0.9978035143769968","0.9978035143769968","0.9452328602838297","0.9452328602838297","0.9452328602838297"
"30000","30005","30005","30005","0.9992012779552716","0.9992012779552716","0.9992012779552716","0.9754147511493104","0.9754147511493104","0.9754147511493104","30005","30005","30005","0.9986022364217252","0.9986022364217252","0.9986022364217252","0.9742154707175694","0.9742154707175694","0.9742154707175694","30005","30005","30005","0.9994009584664537","0.9994009584664537","0.9994009584664537","0.9714171497101739","0.9714171497101739","0.9714171497101739","30005","30005","30005","0.9998003194888179","0.9998003194888179","0.9998003194888179","0.9656206276234259","0.9656206276234259","0.9656206276234259","30005","30005","30005","0.9988019169329073","0.9988019169329073","0.9988019169329073","0.9718169098540875","0.9718169098540875","0.9718169098540875","30005","30005","30005","0.9992012779552716","0.9992012779552716","0.9992012779552716","0.9728163102138717","0.9728163102138717","0.9728163102138717","30005","30005","30005","0.9996006389776357","0.9996006389776357","0.9996006389776357","0.9652208674795123","0.9652208674795123","0.9652208674795123","","","","","","","","","","30005","30005","30005","0.9984025559105432","0.9984025559105432","0.9984025559105432","0.9628223066160304","0.9628223066160304","0.9628223066160304","30005","30005","30005","0.9996006389776357","0.9996006389776357","0.9996006389776357","0.9604237457525485","0.9604237457525485","0.9604237457525485"
"40000","","","","","","","","","","40007","40007","40007","0.9998003194888179","0.9998003194888179","0.9998003194888179","0.9812112732360584","0.9812112732360584","0.9812112732360584","","","","","","","","","","40007","40007","40007","1","1","1","0.981611033379972","0.981611033379972","0.981611033379972","40007","40007","40007","0.9980031948881789","0.9980031948881789","0.9980031948881789","0.977013791724965","0.977013791724965","0.977013791724965","","","","","","","","","","40007","40007","40007","0.9998003194888179","0.9998003194888179","0.9998003194888179","0.9768139116530082","0.9768139116530082","0.9768139116530082","40007","40007","40007","1","1","1","0.9790125924445333","0.9790125924445333","0.9790125924445333","40007","40007","40007","0.9996006389776357","0.9996006389776357","0.9996006389776357","0.9796122326604038","0.9796122326604038","0.9796122326604038","40007","40007","40007","1","1","1","0.9802118728762742","0.9802118728762742","0.9802118728762742"
"50000","50009","50009","50009","0.9996006389776357","0.9996006389776357","0.9996006389776357","0.981611033379972","0.981611033379972","0.981611033379972","50009","50009","50009","0.9998003194888179","0.9998003194888179","0.9998003194888179","0.9860083949630222","0.9860083949630222","0.9860083949630222","50009","50009","50009","1","1","1","0.9830101938836698","0.9830101938836698","0.9830101938836698","50009","50009","50009","0.9998003194888179","0.9998003194888179","0.9998003194888179","0.981611033379972","0.981611033379972","0.981611033379972","50009","50009","50009","0.9988019169329073","0.9988019169329073","0.9988019169329073","0.9820107935238857","0.9820107935238857","0.9820107935238857","","","","","","","","","","","","","","","","","","","","","","","","","","","","50009","50009","50009","1","1","1","0.9870077953228064","0.9870077953228064","0.9870077953228064","50009","50009","50009","1","1","1","0.9856086348191085","0.9856086348191085","0.9856086348191085"
"60000","60011","60011","60011","1","1","1","0.9844093543873675","0.9844093543873675","0.9844093543873675","","","","","","","","","","60011","60011","60011","0.9988019169329073","0.9988019169329073","0.9988019169329073","0.9880071956825904","0.9880071956825904","0.9880071956825904","60011","60011","60011","1","1","1","0.9890065960423746","0.9890065960423746","0.9890065960423746","60011","60011","60011","1","1","1","0.9860083949630222","0.9860083949630222","0.9860083949630222","60011","60011","60011","0.9992012779552716","0.9992012779552716","0.9992012779552716","0.9850089946032381","0.9850089946032381","0.9850089946032381","60011","60011","60011","1","1","1","0.9840095942434539","0.9840095942434539","0.9840095942434539","60011","60011","60011","1","1","1","0.9882070757545472","0.9882070757545472","0.9882070757545472","60011","60011","60011","1","1","1","0.9884069558265041","0.9884069558265041","0.9884069558265041","60011","60011","60011","1","1","1","0.9886068358984609","0.9886068358984609","0.9886068358984609"
"70000","70013","70013","70013","1","1","1","0.9900059964021587","0.9900059964021587","0.9900059964021587","70013","70013","70013","1","1","1","0.992004797121727","0.992004797121727","0.992004797121727","","","","","","","","","","70013","70013","70013","0.9998003194888179","0.9998003194888179","0.9998003194888179","0.9914051569058565","0.9914051569058565","0.9914051569058565","70013","70013","70013","1","1","1","0.98740755546672","0.98740755546672","0.98740755546672","","","","","","","","","","","","","","","","","","","","","","","","","","","","70013","70013","70013","0.9996006389776357","0.9996006389776357","0.9996006389776357","0.9880071956825904","0.9880071956825904","0.9880071956825904","70013","70013","70013","1","1","1","0.9894063561862882","0.9894063561862882","0.9894063561862882"
"80000","80015","80015","80015","1","1","1","0.9882070757545472","0.9882070757545472","0.9882070757545472","80015","80015","80015","1","1","1","0.990805516689986","0.990805516689986","0.990805516689986","80015","80015","80015","1","1","1","0.9916050369778133","0.9916050369778133","0.9916050369778133","80015","80015","80015","1","1","1","0.9896062362582451","0.9896062362582451","0.9896062362582451","80015","80015","80015","0.9998003194888179","0.9998003194888179","0.9998003194888179","0.9916050369778133","0.9916050369778133","0.9916050369778133","80015","80015","80015","0.9996006389776357","0.9996006389776357","0.9996006389776357","0.9906056366180291","0.9906056366180291","0.9906056366180291","80015","80015","80015","1","1","1","0.98740755546672","0.98740755546672","0.98740755546672","80015","80015","80015","1","1","1","0.990805516689986","0.990805516689986","0.990805516689986","80015","80015","80015","1","1","1","0.9914051569058565","0.9914051569058565","0.9914051569058565","80015","80015","80015","0.9996006389776357","0.9996006389776357","0.9996006389776357","0.992004797121727","0.992004797121727","0.992004797121727"
"90000","90017","90017","90017","1","1","1","0.9930041974815111","0.9930041974815111","0.9930041974815111","90017","90017","90017","1","1","1","0.9924045572656406","0.9924045572656406","0.9924045572656406","90017","90017","90017","1","1","1","0.9912052768338997","0.9912052768338997","0.9912052768338997","90017","90017","90017","1","1","1","0.9958025184889067","0.9958025184889067","0.9958025184889067","90017","90017","90017","1","1","1","0.9926044373375974","0.9926044373375974","0.9926044373375974","90017","90017","90017","1","1","1","0.9924045572656406","0.9924045572656406","0.9924045572656406","90017","90017","90017","1","1","1","0.9916050369778133","0.9916050369778133","0.9916050369778133","90017","90017","90017","1","1","1","0.9928043174095542","0.9928043174095542","0.9928043174095542","90017","90017","90017","1","1","1","0.9892064761143314","0.9892064761143314","0.9892064761143314","","","","","","","","",""
"100000","100019","100019","100019","1","1","1","0.9892064761143314","0.9892064761143314","0.9892064761143314","100019","100019","100019","1","1","1","0.995402758344993","0.995402758344993","0.995402758344993","100019","100019","100019","1","1","1","0.9944033579852088","0.9944033579852088","0.9944033579852088","100019","100019","100019","1","1","1","0.9958025184889067","0.9958025184889067","0.9958025184889067","","","","","","","","","","100019","100019","100019","1","1","1","0.9940035978412952","0.9940035978412952","0.9940035978412952","100019","100019","100019","1","1","1","0.9922046771936838","0.9922046771936838","0.9922046771936838","100019","100019","100019","0.9990015974440895","0.9990015974440895","0.9990015974440895","0.9936038376973816","0.9936038376973816","0.9936038376973816","100019","100019","100019","1","1","1","0.9938037177693384","0.9938037177693384","0.9938037177693384","100019","100019","100019","1","1","1","0.9906056366180291","0.9906056366180291","0.9906056366180291"
